天数（自2016年001天起算，北京时间）小时 分钟 秒 模板号
257 11 35 35.6 4
257 11 37 10.8 4
257 11 37 51.1 2
257 11 38 59.7 2
257 11 46 54.8 4
257 11 47 15.3 4
257 11 47 52.2 4
257 11 48 14.2 10
257 11 49 1.8 4
257 11 49 4.6 9
257 11 52 8.4 4
257 11 53 52.4 4
257 11 54 44.1 4
257 11 9 56.2 1
257 12 10 26.1 7
257 12 10 37.8 2
257 12 10 59.4 4
257 12 11 57.7 4
257 12 16 14.4 2
257 12 17 16.5 2
257 12 17 18.5 4
257 12 17 29.5 4
257 12 17 53.3 8
257 12 17 55.5 4
257 12 24 28.6 5
257 12 25 34.3 10
257 12 38 3.5 4
257 12 39 42.6 4
257 12 40 58.2 4
257 12 46 5.7 2
257 12 5 41.3 2
257 12 51 39.2 3
257 12 53 52.9 5
257 12 54 53.6 3
257 12 7 28.7 3
257 13 14 40.3 3
257 13 22 17.6 5
257 13 31 0 1
257 13 32 4.9 2
257 13 4 3 3
257 13 44 45.8 5
257 13 48 28.4 10
257 13 55 30.4 3
257 13 56 20.7 3
257 13 9 25.2 8
257 14 17 50.8 1
257 14 21 40.4 5
257 14 36 11.1 2
257 14 38 32.6 4
257 14 38 4 4
257 14 47 59.5 4
257 14 48 15.4 4
257 14 48 21.4 4
257 14 49 30.9 4
257 14 53 1.4 4
257 14 53 23 4
257 14 54 22 4
257 14 54 9.7 4
257 14 58 33 4
257 14 58 52.9 4
257 14 59 49.4 4
257 15 0 53.6 11
257 15 14 28.5 4
257 15 14 43.1 8
257 15 14 44.8 4
257 15 18 16.1 4
257 15 18 31.4 4
257 15 21 27.2 4
257 15 21 54.4 2
257 15 21 56.2 4
257 15 23 54.9 1
257 15 29 35.1 4
257 15 3 21.6 2
257 15 3 53.2 4
257 15 3 56.8 7
257 15 3 59.6 2
257 15 30 47.2 9
257 15 30 49 4
257 15 32 13.5 4
257 15 32 34 2
257 15 32 37.5 4
257 15 34 10.2 4
257 15 34 25.2 4
257 15 36 4.5 4
257 15 38 28.8 4
257 15 39 26.9 4
257 15 39 53 4
257 15 4 10.8 2
257 15 4 32.5 4
257 15 40 17.9 4
257 15 40 54.7 4
257 15 40 56.3 10
257 15 41 32.5 4
257 15 42 18.2 4
257 15 42 28.3 4
257 15 43 13.7 4
257 15 43 49.9 2
257 15 44 33.5 8
257 15 44 52.4 4
257 15 46 40.8 4
257 15 48 10.7 4
257 15 48 53.3 4
257 15 49 45.6 10
257 15 5 33.2 4
257 15 50 56.8 2
257 15 51 32 4
257 15 51 36.4 4
257 15 51 42.7 4
257 15 51 58 8
257 15 52 34.2 4
257 15 54 4.6 8
257 15 55 35.8 4
257 15 56 10.7 4
257 15 59 33.1 4
257 15 8 41.4 8
257 16 0 14 4
257 16 0 31.6 10
257 16 0 35 4
257 16 12 41.3 4
257 16 15 58.9 4
257 16 16 14.1 4
257 16 17 0.6 4
257 16 17 2.3 2
257 16 17 33.6 8
257 16 17 52.1 8
257 16 17 55.1 4
257 16 20 49.6 5
257 16 21 21.5 4
257 16 21 8.3 4
257 16 23 55 4
257 16 23 58.4 4
257 16 24 31.9 4
257 16 25 23.1 4
257 16 26 54.9 4
257 16 27 18.4 4
257 16 30 8 3
257 16 31 32.2 4
257 16 31 39.9 4
257 16 33 0.2 2
257 16 33 13.8 4
257 16 33 9.8 4
257 16 36 55.7 5
257 16 46 46.7 4
